AnnexID,Date Order,City,County,Annexation Type,Ordinance Date,Effective Date,Report Date,Authorization Number,Authorization Type,Acreage,Comments,Attachments,OrdDate,EffDate,RepDate,AuthNumber,Acr,Com
304112,17093,LaGrange,Troup,Annex,"06-14-2005	","07-01-2005	","01-00-1900	","05-06	",Ordinance,"435.854	","049-1-000-003 (Grover Carter piece) and partial of Sheriff`s Youth Ranch	",,6/14/2005,7/1/2005,1/0/1900,05-06,435.854,049-1-000-003 (Grover Carter piece) and partial of Sheriff`s Youth Ranch
304113,17094,Gainesville,Hall,Annex,"06-21-2005	","07-01-2005	","01-00-1900	","2005-28	",Ordinance,"6.909	","0 McConnell Drive; 0 Atlanta Highway; 0 Swann Drive and 0 Downey Street by City of Gainesville; Department of Public Utilities	",,6/21/2005,7/1/2005,1/0/1900,2005-28,6.909,0 McConnell Drive; 0 Atlanta Highway; 0 Swann Drive and 0 Downey Street by City of Gainesville; Department of Public Utilities
304114,17095,Stockbridge,Henry,Annex,"06-13-2005	","07-01-2005	","01-00-1900	","268-05	",Ordinance,"1	","Newell - Hwy 42 South	",,6/13/2005,7/1/2005,1/0/1900,268-05,1,Newell - Hwy 42 South
304115,17096,Stockbridge,Henry,Annex,"06-13-2005	","07-01-2005	","01-00-1900	","269-05	",Ordinance,"5.66	","Hood - North Mill Rd.	",,6/13/2005,7/1/2005,1/0/1900,269-05,5.66,Hood - North Mill Rd.
304116,17097,Stockbridge,Henry,Annex,"06-13-2005	","07-01-2005	","01-00-1900	","270-05	",Ordinance,"13.46	","Redding - North Mill Rd.	",,6/13/2005,7/1/2005,1/0/1900,270-05,13.46,Redding - North Mill Rd.
304117,17098,Stockbridge,Henry,Annex,"06-13-2005	","07-01-2005	","01-00-1900	","271-05	",Ordinance,"9.03	","Bowden - North Mill Rd.	",,6/13/2005,7/1/2005,1/0/1900,271-05,9.03,Bowden - North Mill Rd.
304118,17099,Stockbridge,Henry,Annex,"06-13-2005	","07-01-2005	","01-00-1900	","272-05	",Ordinance,"2.47	","White - North Mill Rd.	",,6/13/2005,7/1/2005,1/0/1900,272-05,2.47,White - North Mill Rd.
304119,17100,Hinesville,Liberty,Annex,"04-21-2005	","05-01-2005	","01-00-1900	","2005-07	",Ordinance,"111.01	","	",,4/21/2005,5/1/2005,1/0/1900,2005-07,111.01,
304120,17101,Hinesville,Liberty,Annex,"04-21-2005	","05-01-2005	","01-00-1900	","2005-06	",Ordinance,"2682	","	",,4/21/2005,5/1/2005,1/0/1900,2005-06,2682,
304121,17102,Bloomingdale,chatham,Deannex,"10-07-2004	","11-01-2004	","01-00-1900	","304121	",Ordinance,"29.9	","Deannexation	",,10/7/2004,11/1/2004,1/0/1900,304121,29.9,Deannexation
304122,17103,Bloomingdale,chatham,Annex,"11-18-2004	","12-01-2004	","01-00-1900	","304122	",Ordinance,"29.9	","	",,11/18/2004,12/1/2004,1/0/1900,304122,29.9,
304123,17104,Smyrna,Cobb,Annex,"07-05-2005	","08-01-2005	","01-00-1900	","2005-9	",Ordinance,"0.863	","	",,7/5/2005,8/1/2005,1/0/1900,2005-9,0.863,
304124,17105,Smyrna,Cobb,Annex,"07-05-2005	","08-01-2005	","01-00-1900	","2005-10	",Ordinance,"0.408	","	",,7/5/2005,8/1/2005,1/0/1900,2005-10,0.408,
304125,17106,Smyrna,Cobb,Annex,"07-05-2005	","08-01-2005	","01-00-1900	","2005-11	",Ordinance,"2.025	","	",,7/5/2005,8/1/2005,1/0/1900,2005-11,2.025,
304126,17107,Smyrna,Cobb,Annex,"07-05-2005	","08-01-2005	","01-00-1900	","2005-12	",Ordinance,"0.383	","	",,7/5/2005,8/1/2005,1/0/1900,2005-12,0.383,
304127,17108,Smyrna,Cobb,Annex,"07-05-2005	","08-01-2005	","01-00-1900	","2005-13	",Ordinance,"1.46	","	",,7/5/2005,8/1/2005,1/0/1900,2005-13,1.46,
304128,17109,Smyrna,Cobb,Annex,"07-05-2005	","08-01-2005	","01-00-1900	","2005-14	",Ordinance,"1.705	","	",,7/5/2005,8/1/2005,1/0/1900,2005-14,1.705,
304129,17110,Hiram,Paulding,Annex,"07-06-2005	","08-01-2005	","01-00-1900	","130	",Ordinance,"9.901	","Steve Mitchell; Jo Beth Bush & Susan Brock	",,7/6/2005,8/1/2005,1/0/1900,130,9.901,Steve Mitchell; Jo Beth Bush & Susan Brock
304130,17111,Toccoa,Stephens,Annex,"11-22-2004	","12-01-2004	","01-00-1900	","14A	",Ordinance,"0.779	","	",,11/22/2004,12/1/2004,1/0/1900,14A,0.779,
304131,17112,Dallas,paulding,Annex,"07-11-2005	","08-01-2005	","01-00-1900	","05-18	",Ordinance,"5.01	","	",,7/11/2005,8/1/2005,1/0/1900,05-18,5.01,
304132,17113,Statesboro,Bulloch,Annex,"05-21-2005	","06-01-2005	","01-00-1900	","304132	",Ordinance,"30.471	","	",,5/21/2005,6/1/2005,1/0/1900,304132,30.471,
304133,17114,Rome,Floyd,Annex,"06-06-2005	","07-01-2005	","01-00-1900	","07A-2005A	",Ordinance,"0.5	","	",,6/6/2005,7/1/2005,1/0/1900,07A-2005A,0.5,
304134,17115,Rome,Floyd,Annex,"06-06-2005	","07-01-2005	","01-00-1900	","08/2005A	",Ordinance,"0.638	","	",,6/6/2005,7/1/2005,1/0/1900,08/2005A,0.638,
304135,17116,St. Marys,Camden,Annex,"07-11-2005	","08-01-2005	","01-00-1900	","Tax Map 160A-009J	",Ordinance,"1.9	","Owner: Seals; Newton	",,7/11/2005,8/1/2005,1/0/1900,Tax Map 160A-009J,1.9,Owner: Seals; Newton
304136,17117,Leesburg,Lee,Annex,"07-05-2005	","08-01-2005	","01-00-1900	","05-007	",Ordinance,"2.723	","	",,7/5/2005,8/1/2005,1/0/1900,05-007,2.723,
304137,17118,Pendergrass,Jackson,Annex,"06-28-2005	","07-01-2005	","01-00-1900	","2005-50	",Ordinance,"36.24	","	",,6/28/2005,7/1/2005,1/0/1900,2005-50,36.24,
304138,17119,Pendergrass,Jackson,Annex,"06-28-2005	","07-01-2005	","01-00-1900	","2005-49	",Ordinance,"71.765	","	",,6/28/2005,7/1/2005,1/0/1900,2005-49,71.765,
304139,17120,Pendergrass,Jackson,Annex,"12-28-2004	","01-01-2005	","01-00-1900	","2004-002	",Ordinance,"41.799	","	",,12/28/2004,1/1/2005,1/0/1900,2004-002,41.799,
